epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.83699631690979,0.3851390480995178,1e-05,0.7935484051704407,0.5367259979248047
1,0.8717948794364929,0.3135219216346741,1e-05,0.7870967984199524,0.5325531959533691
2,0.8681318759918213,0.33314716815948486,1e-05,0.8064516186714172,0.49303102493286133
3,0.8882783651351929,0.311003714799881,1e-05,0.7935484051704407,0.6172788739204407
4,0.8937729001045227,0.2729496955871582,1e-05,0.8129032254219055,0.5453029870986938
5,0.9029303789138794,0.24417008459568024,1e-05,0.8129032254219055,0.49651479721069336
6,0.9084249138832092,0.24470525979995728,1e-05,0.8258064389228821,0.5141491889953613
7,0.9157509207725525,0.20828716456890106,1e-05,0.7935484051704407,0.545173704624176
8,0.9194139242172241,0.23133854568004608,1e-05,0.8258064389228821,0.5163368582725525
9,0.9120879173278809,0.2180512696504593,1e-05,0.8387096524238586,0.5016113519668579
10,0.9395604133605957,0.17534203827381134,1e-05,0.800000011920929,0.5871149301528931
11,0.9194139242172241,0.20066234469413757,1e-05,0.8064516186714172,0.535585880279541
12,0.9285714030265808,0.20112724602222443,1e-05,0.8451613187789917,0.5446100831031799
13,0.9413919448852539,0.1444929540157318,1e-05,0.8258064389228821,0.5788928866386414
14,0.9358974099159241,0.1632552593946457,1e-05,0.85161292552948,0.6108462810516357
15,0.9413919448852539,0.11869867891073227,1e-05,0.8322580456733704,0.6275853514671326
16,0.9432234168052673,0.1489589959383011,1e-05,0.8193548321723938,0.6650784611701965
17,0.9505494236946106,0.13951873779296875,1e-05,0.8258064389228821,0.5846486687660217
18,0.946886420249939,0.1270846277475357,1e-05,0.8580645322799683,0.6079270839691162
19,0.9615384340286255,0.10438976436853409,1e-05,0.8451613187789917,0.7663981914520264
20,0.9450549483299255,0.13607867062091827,1e-05,0.85161292552948,0.6489384770393372
21,0.9652014374732971,0.11608763039112091,1e-05,0.8580645322799683,0.6328172087669373
22,0.9743589758872986,0.0903351902961731,1e-05,0.8451613187789917,0.6533673405647278
23,0.970695972442627,0.10788457095623016,1e-05,0.8387096524238586,0.7961909174919128
24,0.970695972442627,0.06936526298522949,1e-06,0.8258064389228821,0.7642134428024292
25,0.9743589758872986,0.07645215839147568,1e-06,0.8258064389228821,0.7622774839401245
26,0.9633699655532837,0.08504495024681091,1e-06,0.8322580456733704,0.7501966953277588
27,0.9798534512519836,0.060259558260440826,1e-06,0.8387096524238586,0.737704873085022
28,0.9743589758872986,0.08821624517440796,1e-06,0.8451613187789917,0.7528273463249207
29,0.9798534512519836,0.06447376310825348,1e-06,0.85161292552948,0.7554347515106201
30,0.9835164546966553,0.05926426500082016,1e-06,0.85161292552948,0.7618438005447388
31,0.9780219793319702,0.07620317488908768,1e-06,0.85161292552948,0.7494606375694275
32,0.9743589758872986,0.071748748421669,1e-06,0.8580645322799683,0.7499582171440125
33,0.970695972442627,0.07600676268339157,1e-06,0.85161292552948,0.753046452999115
34,0.9725274443626404,0.06883549690246582,1e-06,0.8580645322799683,0.7516549825668335
35,0.976190447807312,0.06894861161708832,1e-06,0.8451613187789917,0.7489970326423645
36,0.9725274443626404,0.08409477025270462,1e-06,0.85161292552948,0.750272810459137
37,0.9890109896659851,0.044179968535900116,1e-06,0.8322580456733704,0.740283727645874
38,0.976190447807312,0.0767960473895073,1e-06,0.8580645322799683,0.7484263777732849
39,0.9780219793319702,0.06298676878213882,1e-06,0.8451613187789917,0.742181658744812
40,0.9798534512519836,0.07538552582263947,1e-06,0.8387096524238586,0.7400745749473572
41,0.9816849827766418,0.06754963845014572,1e-06,0.8451613187789917,0.7374642491340637
42,0.9835164546966553,0.052243269979953766,1e-06,0.8387096524238586,0.7620789408683777
43,0.9835164546966553,0.047384802252054214,1e-06,0.8387096524238586,0.7552275657653809
44,0.9890109896659851,0.048471927642822266,1e-06,0.8451613187789917,0.7578146457672119
45,0.9725274443626404,0.06706377863883972,1e-06,0.85161292552948,0.7497605681419373
46,0.9816849827766418,0.04402943328022957,1e-06,0.8451613187789917,0.7509692907333374
47,0.9835164546966553,0.04224477335810661,1e-06,0.8580645322799683,0.7848952412605286
48,0.9780219793319702,0.06715550273656845,1e-06,0.8451613187789917,0.7611140608787537
49,0.9871794581413269,0.03848833218216896,1e-06,0.85161292552948,0.755656898021698
50,0.9853479862213135,0.056312445551157,1e-06,0.8322580456733704,0.7677796483039856
51,0.9798534512519836,0.06574305891990662,1e-06,0.8451613187789917,0.7821645140647888
52,0.9835164546966553,0.05602695420384407,1e-06,0.8387096524238586,0.7743504047393799
